UF;Municipio;Cod. IBGE;Obitos;Feridos;Enfermos;Desalojados;Desabrigados;Desaparecidos;Outros;Total;Ocorrencias;Danos Materiais Totais (R$);Prejuízos Privados;Prejuízos Públicos
MG;Abadia dos Dourados;3100104;3;0;0;550;215;0;7854;8622;4;2.868.773,15;1.094.587,30;211.075,23
GO;Abadiânia;5200100;0;0;0;130;0;0;0;130;1;2.906.609,69;576.708,27;23.068,33
PA;Abaetetuba;1500107;0;0;173;187;41;0;2762;3163;4;9.830.795,84;3.583.896,79;23.176.319,04
CE;Abaiara;2300101;0;0;0;24;0;0;27554;27578;10;0,00;13.148.246,52;424.317,39
BA;Abaíra;2900108;0;0;0;600;0;0;54190;54790;21;0,00;75.637.764,17;1.980.950,49
BA;Abaré;2900207;0;0;34350;0;741;0;183472;218563;31;82.258.624,73;115.694.699,26;92.291.287,87
PR;Abatiá;4100103;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
SC;Abdon Batista;4200051;0;12;1;689;465;0;10605;11772;25;24.742.021,58;97.964.653,55;17.499.058,33
SC;Abelardo Luz;4200101;0;48;38;2376;385;0;21641;24488;39;35.564.827,66;249.878.153,49;9.615.091,68
PA;Abel Figueiredo;1500131;0;0;510;296;0;0;1825;2631;2;1.446.070,35;98.963,83;616.931,67
MG;Abre Campo;3100302;0;2;0;344;297;0;4362;5005;6;14.930.913,25;367.801,47;752.568,54
PE;Abreu e Lima;2600054;5;1;0;117;15;0;19924;20062;3;85.528.474,50;0,00;311.000,00
MG;Acaiaca;3100401;0;0;0;242;77;0;690;1009;3;8.139.002,12;19.359,37;32.265,61
MA;Açailândia;2100055;0;0;0;326;73;0;1075;1474;4;11.310.277,08;188.059,75;0,00
BA;Acajutiba;2900306;0;0;0;0;0;0;4536;4536;4;0,00;12.729.521,94;0,00
PA;Acará;1500206;0;180;0;173;0;0;3788;4141;4;15.425.645,17;480.754,24;1.961.313,60
CE;Acarape;2300150;0;0;0;0;0;0;30712;30712;10;0,00;5.945.613,66;2.045.569,45
CE;Acaraú;2300200;1;5;0;987;241;0;50762;51996;14;7.891.910,79;52.896.332,38;1.684.383,40
RN;Acari;2400109;0;0;0;0;0;0;72400;72400;20;0,00;11.420.705,28;3.418.457,21
PI;Acauã;2200053;0;0;0;281;0;0;47030;47311;24;182.239,81;61.831.425,12;5.005.325,27
RS;Aceguá;4300034;0;9;0;170;18;0;11006;11203;13;12.383.837,73;85.332.471,01;1.794.977,52
CE;Acopiara;2300309;0;0;5500;894;81;0;425367;431842;33;35.557.648,48;599.429.888,94;35.209.219,72
AC;Acrelândia;1200013;0;0;0;0;0;0;12538;12538;2;0,00;0,00;0,00
GO;Acreúna;5200134;0;0;0;0;0;0;75;75;2;6.475.315,63;51.508.685,47;6.475.315,63
RN;Açu;2400208;0;18;5400;4474;387;0;272842;283121;26;42.994.589,43;53.216.032,58;9.697.171,89
MG;Açucena;3100500;2;62;31;592;173;0;9805;10665;12;6.753.388,24;63.032,07;1.975.724,32
SP;Adamantina;3500105;0;1;0;4;0;0;4200;4205;5;9.323.894,44;3.100.393,53;2.526.159,79
PR;Adrianópolis;4100202;0;1;0;633;34;0;40;708;5;429.327,14;299.505,59;29.845,71
BA;Adustina;2900355;0;0;0;0;0;0;104200;104200;19;678.907,84;229.233.831,68;233.712,45
PE;Afogados da Ingazeira;2600104;1;0;0;480;179;0;80918;81578;19;3.556.899,93;90.325.047,28;42.226.713,06
RN;Afonso Bezerra;2400307;0;0;0;0;144;0;73699;73843;21;1.422.867,34;15.847.644,81;1.576.775,87
ES;Afonso Cláudio;3200102;3;16;1;1249;368;1;67811;69449;13;34.564.547,64;51.446.065,25;6.770.909,56
MA;Afonso Cunha;2100105;0;0;0;662;337;0;2356;3355;4;3.421.707,98;863.145,73;15.044,78
PE;Afrânio;2600203;0;0;215;167;0;0;80463;80845;25;604.421,30;88.995.832,75;74.917.648,37
PE;Agrestina;2600302;0;0;0;425;0;0;70554;70979;20;4.792.251,81;63.727.950,99;21.390.425,82
PI;Agricolândia;2200103;0;0;0;208;0;0;5130;5338;12;1.226.517,21;9.908.975,63;0,00
SC;Agrolândia;4200200;1;0;75;1536;57;0;28762;30431;20;23.394.771,06;27.100.392,17;4.307.460,39
SC;Agronômica;4200309;0;0;2;2818;1444;0;31329;35593;24;15.870.436,13;118.440.657,60;6.399.950,79
